id|participant_id|game_id
1|1|1
2|7351|1
3|571|1
4|7281|1
5|19750|1
6|14518|1
7|14523|1
8|7190|1
9|7174|1
10|7167|1
11|14583|1
12|7117|1
13|7081|1
14|613|1
15|14703|1
16|19720|1
17|6985|1
18|19717|1
19|6955|1
20|6935|1
21|14753|1
22|6914|1
23|7360|1
24|14398|1
25|7366|1
26|7392|1
27|7935|1
28|7913|1
29|7912|1
30|7906|1
31|13990|1
32|13997|1
33|7843|1
34|7819|1
35|7714|1
36|7674|1
37|14777|1
38|14167|1
39|536|1
40|14220|1
41|14224|1
42|542|1
43|7537|1
44|14289|1
45|14294|1
46|7481|1
47|7448|1
48|7402|1
49|7640|1
50|7936|1
51|6879|1
52|6867|1
53|15292|1
54|15315|1
55|6186|1
56|15326|1
57|19603|1
58|15420|1
59|6049|1
60|15429|1
61|6032|1
62|15448|1
63|5985|1
64|5967|1
65|5953|1
66|5912|1
67|5888|1
68|15622|1
69|5784|1
70|5750|1
71|15664|1
72|15675|1
73|15677|1
74|6224|1
75|15266|1
76|6256|1
77|15209|1
78|6860|1
79|6857|1
80|6804|1
81|6792|1
82|6766|1
83|6655|1
84|6601|1
85|6600|1
86|15006|1
87|15019|1
88|14790|1
89|6553|1
90|6463|1
91|6462|1
92|19094|1
93|15137|1
94|19633|1
95|15170|1
96|6337|1
97|6332|1
98|6327|1
99|6325|1
100|6528|1
101|7961|1
102|13928|1
103|8012|1
104|9586|1
105|12674|1
106|9545|1
107|9539|1
108|12712|1
109|9531|1
110|12733|1
111|12734|1
112|9496|1
113|9444|1
114|9419|1
115|9403|1
116|12883|1
117|9333|1
118|9328|1
119|279|1
120|9313|1
121|12915|1
122|19964|1
123|9268|1
124|12967|1
125|9612|1
126|19996|1
127|19997|1
128|12626|1
129|12266|1
130|10072|1
131|10063|1
132|10049|1
133|10037|1
134|10020|1
135|10015|1
136|12354|1
137|9894|1
138|12437|1
139|9224|1
140|12500|1
141|12525|1
142|9775|1
143|9739|1
144|9738|1
145|9727|1
146|9726|1
147|9712|1
148|9694|1
149|9663|1
150|9645|1
151|9807|1
152|12977|1
153|9199|1
154|9192|1
155|8575|1
156|426|1
157|8448|1
158|13598|1
159|8420|1
160|8361|1
161|13656|1
162|8344|1
163|13694|1
164|13696|1
165|8581|1
166|8260|1
167|8228|1
168|8223|1
169|13752|1
170|8117|1
171|13864|1
172|13872|1
173|13884|1
174|480|1
175|13895|1
176|13901|1
177|8251|1
178|5710|1
179|13420|1
180|391|1
181|19950|1
182|9176|1
183|9148|1
184|9090|1
185|13095|1
186|9047|1
187|13101|1
188|333|1
189|13121|1
190|335|1
191|8665|1
192|8934|1
193|8911|1
194|8903|1
195|13253|1
196|8837|1
197|8818|1
198|8804|1
199|8792|1
200|19898|1
201|8731|1
202|8700|1
203|13207|1
204|15693|1
205|5690|1
